1 47,8417
35481338,92 -48,6613
36307805,48 -49,0009
37153522,91 -49,3382
38018939,63 -49,6731
38904514,5 -50,0055
39810717,06 -50,3354
40738027,78 -50,6626
41686938,35 -50,9872
42657951,88 -51,3089
43651583,22 -51,6277
44668359,22 -51,9435
45708818,96 -52,2563
46773514,13 -52,566
47863009,23 -52,8725
48977881,94 -53,1756
50118723,36 -53,4754
51286138,4 -53,7717
52480746,02 -54,0645
53703179,64 -54,3536
54954087,39 -54,6391
56234132,52 -54,9207
57543993,73 -55,1986
58884365,54 -55,4725
60255958,61 -55,7424
61659500,19 -56,0083
63095734,45 -56,2701
64565422,9 -56,5277
66069344,8 -56,781
67608297,54 -57,0301
69183097,09 -57,2748
70794578,44 -57,5152
72443596,01 -57,7512
74131024,13 -57,9826
75857757,5 -58,2096
77624711,66 -58,4321
79432823,47 -58,65
81283051,62 -58,8634
83176377,11 -59,0722
85113803,82 -59,2764
87096359 -59,4759
89125093,81 -59,6709
91201083,94 -59,8614
93325430,08 -60,0472
95499258,6 -60,2284
97723722,1 -60,4052
100000000 -60,5774
